,id,a,b,c,alpha,beta,gamma
403,mp-7046,4.059090842996397,4.059090842996397,22.957688686076207,90.0,90.0,119.99999999999999
404,mp-7060,4.045602,4.045602,8.958775,90.0,90.0,90.0
405,mp-7077,6.313643512264245,7.872171266671454,6.6852625,90.0,90.0,90.0
406,mp-7100,4.06924407,4.06924407,5.81392154,90.0,90.0,90.0
407,mp-7113,3.541241720078718,3.541241720078718,21.32409929126661,90.0,90.0,120.00000000000001
408,mp-7128,4.853158773644379,4.853158773644379,4.89477796,90.0,90.0,120.00000000000001
409,mp-7173,6.35823467125591,6.35823467125591,6.35823467125591,90.0,90.0,90.0
410,mp-7233,4.087297832675909,4.087297832675909,7.16384495,90.0,90.0,120.00000000000001
411,mp-7375,5.719298851832022,5.719298851832022,7.034617799674489,90.0,90.0,119.99999999999999
412,mp-7436,4.4392195151902065,4.4392195151902065,10.05900949,90.0,90.0,120.00000000000001
413,mp-7437,4.063758328821727,4.063758328821727,10.1455352,90.0,90.0,119.99999999999999
414,mp-7439,5.658119561005387,5.658119561005387,19.98612960033961,90.0,90.0,119.99999999999999
415,mp-7472,4.661739708455387,12.291815425932187,6.04778681,90.0,90.0,90.0
416,mp-7476,3.477229253665407,3.477229253665407,19.529432770737085,90.0,90.0,120.00000000000001
417,mp-7477,3.4333866162863087,3.4333866162863087,19.487236246605633,90.0,90.0,119.99999999999999
418,mp-7478,3.413338976353101,3.413338976353101,19.45572679790374,90.0,90.0,120.00000000000001
419,mp-7480,3.376969158757458,3.376969158757458,19.42293686383216,90.0,90.0,119.99999999999999
420,mp-7482,4.54921913,4.54921913,4.54921913,90.0,90.0,90.0
421,mp-7483,4.52986409244832,4.52986409244832,4.52986409244832,90.0,90.0,90.0
422,mp-7523,4.105755686259103,4.105755686259103,13.176205547441127,90.0,90.0,90.0
423,mp-7569,7.337638122141424,7.337638122141424,7.129751833988707,90.0,90.0,120.00000000000001
424,mp-7575,4.864794373012698,4.864794373012698,4.864794373012698,90.0,90.0,90.0
425,mp-7608,2.99161912,3.7233540400000003,9.21584058,90.0,90.0,90.0
426,mp-7611,5.159096,5.159096,6.830424,90.0,90.0,90.0
427,mp-7650,3.257573900607725,3.257573900607725,12.8030981,90.0,90.0,119.99999999999999
428,mp-7738,4.220763991051719,4.220763991051719,8.22761741,90.0,90.0,119.99999999999999
429,mp-7768,4.040422289686903,4.040422289686903,7.18960449,90.0,90.0,119.99999999999999
430,mp-7769,4.018100426768371,4.018100426768371,6.95317168,90.0,90.0,119.99999999999999
431,mp-7801,5.432632048648662,5.432632048648662,7.157884792966311,90.0,90.0,90.0
