id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-10074,GeSe2,1.5188,False,311810.4860485964,5.936630091371072,5.936630091371072,9.571308051830131,90.0,90.0,90.0,False,False,2
mp-10322,BaHfN2,1.2537000000000005,False,98647.84265207368,4.13241419,4.13241419,8.42759229,90.0,90.0,90.0,False,False,3
mp-10401,Tl2SnF6,4.2962,False,1824.1406436985576,6.006421216027281,6.006421216027281,4.80758079,90.0,90.0,120.0,False,False,3
mp-10402,TiTl2F6,3.8846,False,2382.521311431463,5.919080258390827,5.919080258390827,4.76418862,90.0,90.0,120.0,False,False,3
mp-10408,K2CN2,3.1433,False,2110.169118656582,5.770837322111839,5.6785405361338,5.770783143801709,90.0,108.45901431386756,90.0,False,False,3
mp-10485,BaLiSb,0.6946999999999997,False,541176.5219216924,4.940407598328941,4.940407598328941,9.18028967,90.0,90.0,120.0,False,False,3
mp-10572,NaPN2,4.6812000000000005,False,1708.1121121040346,4.947436840674604,4.947436840674604,6.962243147116519,90.0,90.0,90.0,False,False,3
mp-10616,BaLiAs,0.5928,False,348074.60451586853,4.532278736656025,4.532278736656025,4.60523575,90.0,90.0,120.0,False,False,3
mp-10623,ThSbRh,0.7438000000000002,False,396908.8123427316,6.707204948115119,6.707204948115119,6.707204948115119,90.0,90.0,90.0,False,False,3
mp-10748,TaCu3S4,1.9231000000000005,False,102436.11892711744,5.486557430000001,5.486557430000001,5.486557430000001,90.0,90.0,90.0,False,False,3
mp-10919,Rb2PtC2,1.1362,False,261816.0809879976,5.405893506952568,5.405893506952568,5.20080089,90.0,90.0,120.0,False,False,3
mp-10969,CdCN2,2.3076,False,5614.9230122845,3.556742204433108,3.556742204433108,14.579926417270276,90.0,90.0,120.0,False,False,3
mp-1022,K2S,2.3201,False,20112.421519871445,7.41387892258685,7.41387892258685,7.41387892258685,90.0,90.0,90.0,False,False,2
mp-1039,MgTe,2.3612,False,22842.98216661997,4.590202539375506,4.590202539375506,7.43780571,90.0,90.0,120.0,False,False,2
mp-1087,SrS,2.497,False,8017.255570936087,6.0480334773227975,6.0480334773227975,6.0480334773227975,90.0,90.0,90.0,False,False,2
mp-1105,BaO2,2.2352,False,2518.01562928497,3.8380148229466498,3.8380148229466498,6.898199266733667,90.0,90.0,90.0,False,False,2
mp-1115,PtSe2,0.6193,False,608507.3398503886,3.7173065480242062,3.7173065480242062,5.82007402,90.0,90.0,120.0,False,False,2
mp-1153,Li2S,3.3862000000000005,False,2778.030440298709,5.670335685713675,5.670335685713675,5.670335685713675,90.0,90.0,90.0,False,False,2
mp-1170,SnS2,1.5147999999999997,False,57142.15933398699,3.674305600569976,3.674305600569976,6.22883184,90.0,90.0,120.0,False,False,2
mp-1190,ZnSe,1.1663,False,83248.3710616367,5.664885081390604,5.664885081390604,5.664885081390604,90.0,90.0,90.0,False,False,2
mp-1224,HgO,1.1867,False,63225.39200997923,3.58509138,5.56420636,6.69606078,90.0,90.0,90.0,False,False,2
mp-1265,MgO,4.4292,False,1000.3129736614528,4.19400278535224,4.19400278535224,4.19400278535224,90.0,90.0,90.0,False,False,2
mp-1266,Na2Se,2.0153,False,70067.0174791174,6.759551156983516,6.759551156983516,6.759551156983516,90.0,90.0,90.0,False,False,2
mp-1315,MgS,2.7574,False,4272.297077896137,5.208795111220911,5.208795111220911,5.208795111220911,90.0,90.0,90.0,False,False,2
mp-1342,BaO,2.0906,False,51618.28338660007,5.580783419036325,5.580783419036325,5.580783419036325,90.0,90.0,90.0,False,False,2
mp-1415,CaSe,2.0728000000000004,False,11530.258802301702,5.940476210343394,5.940476210343394,5.940476210343394,90.0,90.0,90.0,False,False,2
mp-1479,BP,1.2434999999999992,False,8184.513933873101,4.532144769089332,4.532144769089332,4.532144769089332,90.0,90.0,90.0,False,False,2
mp-1500,BaS,2.1488,False,51310.029329953926,6.451351236011469,6.451351236011469,6.451351236011469,90.0,90.0,90.0,False,False,2
mp-1519,CaTe,1.5535,False,38468.49687839703,6.391708758054385,6.391708758054385,6.391708758054385,90.0,90.0,90.0,False,False,2
mp-1522,FeS2,0.8770000000000007,False,699489.8187113239,3.37769817,4.42562487,5.39652822,90.0,90.0,90.0,False,False,2
mp-1541,BeSe,2.6636999999999995,False,4356.541193094771,5.167937476362056,5.167937476362056,5.167937476362056,90.0,90.0,90.0,False,False,2
mp-1550,AlP,1.6294000000000004,False,13895.173518138943,5.472967426017369,5.472967426017369,5.472967426017369,90.0,90.0,90.0,False,False,2
mp-1569,Be2C,1.1636999999999995,False,3457.1170222439164,4.324511945749077,4.324511945749077,4.324511945749077,90.0,90.0,90.0,False,False,2
mp-1572,GaSe,1.2405999999999997,False,76025.32966510674,3.773436731732547,3.773436731732547,16.52079197,90.0,90.0,120.0,False,False,2
mp-1591,Al4C3,1.3154000000000003,False,12390.161171835627,3.3330319433644853,3.3330319433644853,24.915625668909783,90.0,90.0,120.0,False,False,2
mp-1672,CaS,2.3819,False,7292.231318288678,5.704748583424641,5.704748583424641,5.704748583424641,90.0,90.0,90.0,False,False,2
mp-1747,K2Te,2.141,False,72126.33369519562,8.182375931826074,8.182375931826074,8.182375931826074,90.0,90.0,90.0,False,False,2
mp-1776,UN2,0.6927000000000003,False,651612.5436165184,5.261712590768087,5.261712590768087,5.261712590768087,90.0,90.0,90.0,False,False,2
mp-1821,WSe2,1.4465,False,324073.6781761412,3.3199329218010143,3.3199329218010143,13.7371873,90.0,90.0,120.0,False,False,2
mp-1852,UF5,0.7455999999999999,False,1574.2422151416874,6.416870207111135,6.416870207111135,4.477941568451381,90.0,90.0,90.0,False,False,2
mp-1873,ZnF2,3.4592,False,807.5215541407232,4.70294417,4.70294417,3.13289021,90.0,90.0,90.0,False,False,2
mp-1883,SnTe,0.0419,False,1216661.471412963,6.371626132571059,6.371626132571059,6.371626132571059,90.0,90.0,90.0,False,False,2
mp-1958,SrTe,1.7616,False,62828.64608724197,6.711670620839228,6.711670620839228,6.711670620839228,90.0,90.0,90.0,False,False,2
mp-1960,Li2O,4.8986,False,1047.5785165989896,4.653708763836069,4.653708763836069,4.653708763836069,90.0,90.0,90.0,False,False,2
mp-11019,GaCuO2,0.7812999999999999,False,40496.99599969608,2.971853523119563,2.971853523119563,11.44881994,90.0,90.0,120.0,False,False,3
mp-11020,GaAgO2,0.5832999999999999,False,32653.733168563347,2.9906166992273104,2.9906166992273104,12.42136296,90.0,90.0,120.0,False,False,3
mp-11107,Ac2O3,3.5226,False,2488.423086003315,4.095488002164615,4.095488002164615,6.29988201,90.0,90.0,120.0,False,False,2
mp-11147,Na5CuSO2,1.5205,False,42921.30595675817,4.577351,4.577351,8.207251,90.0,90.0,90.0,False,False,4
mp-11327,Rb2Se,1.7968,False,52956.80485960386,8.057712764073448,8.057712764073448,8.057712764073448,90.0,90.0,90.0,False,False,2
mp-11775,RbUO3,0.4542000000000001,False,15016.3587292323,4.328371596666666,4.328371596666666,4.328371596666666,90.0,90.0,90.0,False,False,3
mp-12317,SrCN2,3.2056,False,2224.396583595816,3.978757351075687,3.978757351075687,15.108780924252574,90.0,90.0,120.0,False,False,3
mp-12442,KAuF6,2.1117,False,32954.09362690449,7.554441848936402,7.554441848936402,7.211647041672181,90.0,90.0,120.0,False,False,3
mp-12444,SrCuSF,1.5126,False,60383.31371940797,3.93943137,3.93943137,8.64701502,90.0,90.0,90.0,False,False,4
mp-12954,CuBS2,1.7424999999999995,False,34344.16096569466,4.984760243394115,4.984760243394115,9.035491831725349,90.0,90.0,90.0,False,False,3
mp-12957,O2,0.0,True,869307.1885726663,8.754856,6.220214,4.389828171850124,90.0,115.76698413047656,90.0,False,False,1
mp-13031,MgSe,2.5476,False,14204.630377360634,5.937855388474067,5.937855388474067,5.937855388474067,90.0,90.0,90.0,False,False,2
mp-13275,NaSrP,1.2357,False,296219.53723601607,7.66479932631214,7.66479932631214,4.48604454,90.0,90.0,120.0,False,False,3
mp-13276,SrLiP,1.3430999999999995,False,242793.161182276,4.371296412853743,4.371296412853743,8.04126415,90.0,90.0,120.0,False,False,3
mp-13277,BaLiP,0.9631000000000004,False,400210.4247408962,4.523617695411071,4.523617695411071,8.75238429,90.0,90.0,120.0,False,False,3
mp-13610,ZnPbF6,1.7555,False,21597.407438069244,5.126887530043264,5.126887530043264,14.436050510243696,90.0,90.0,120.0,False,False,3
mp-13660,Ca4Sb2O,0.9078999999999996,False,282066.5986098061,4.700047629802054,4.700047629802054,16.299760489038935,90.0,90.0,90.0,False,False,3
mp-13903,ZnSnF6,3.7147,False,910.0738040444672,5.120740767679854,5.120740767679854,13.924412519434885,90.0,90.0,120.0,False,False,3
mp-13907,CdSnF6,3.8568,False,861.0906554180275,5.254960409629441,5.254960409629441,14.850194197282196,90.0,90.0,120.0,False,False,3
mp-13984,CdPdF6,1.7751,False,85628.0685851161,5.056799392418005,5.056799392418005,14.505292312641645,90.0,90.0,120.0,False,False,3
mp-14070,RbAlO2,3.4902,False,1005.1977397204458,8.021614149030482,8.021614149030482,8.021614149030482,90.0,90.0,90.0,False,False,3
mp-14088,Rb2PdF6,2.2306,False,7150.90077402524,8.487651353192373,8.487651353192373,8.487651353192373,90.0,90.0,90.0,False,False,3
